route_id,trip_id,direction_id,stop_headsign,start_time,end_time
JAK.107,JAK.107-R01,0,Jembatan Garden,05:00:00,22:00:00
JAK.107,JAK.107-R01,0,Puri Beta,05:00:00,22:00:00
JAK.107,JAK.107-R02,1,Jembatan Garden,05:00:00,22:00:00
JAK.107,JAK.107-R02,1,Puri Beta,05:00:00,22:00:00
JAK.15,JAK.15-R05,0,Rusun Marunda,05:00:00,22:00:00
JAK.15,JAK.15-R04,1,Tanjung Priok,05:00:00,22:00:00
JAK.15,JAK.15-R04,1,Rusun Marunda,05:00:00,22:00:00
JAK.49,JAK.49-L03,0,Cipulir,05:00:00,22:00:00
JAK.49,JAK.49-L03,0,Lebak Bulus,05:00:00,22:00:00
JAK.79,JAK.79-L01,0,Cengkareng,05:00:00,22:00:00
JAK.79,JAK.79-L01,1,Tubagus Angke,05:00:00,22:00:00
JAK.28,JAK.28-R05,0,Pasar Rebo,05:00:00,22:00:00
JAK.28,JAK.28-R06,1,Cibubur,05:00:00,22:00:00
JAK.28,JAK.28-R06,1,Pasar Rebo,05:00:00,22:00:00
JAK.33,JAK.33-R03,1,Pulo Gadung,05:00:00,22:00:00
JAK.33,JAK.33-R04,0,Kota,05:00:00,22:00:00
JAK.49,JAK.49-R06,1,Lebak Bulus,05:00:00,22:00:00
JAK.10B,JAK.10B-L01,0,Cikini via Kramat,05:00:00,22:00:00
JAK.10B,JAK.10B-L01,1,Gondangdia,05:00:00,22:00:00
JAK.08,JAK.08-L03,0,Roxy,05:00:00,22:00:00
JAK.08,JAK.08-L03,1,Benhil,05:00:00,22:00:00
JAK.118,JAK.118-L02,0,Kota Tua,05:00:00,22:00:00
JAK.118,JAK.118-L02,1,Taman Waduk Papanggo,05:00:00,22:00:00
JAK.58,JAK.58-R01,0,Rorotan,05:00:00,22:00:00
